"","metro","yoy"
"1","Atlanta","0.0522498751774071"
"2","Boston","0.0529379423204716"
"3","Chicago","0.0219574501605502"
"4","Dallas","0.0590931912569522"
"5","Denver","0.0795788508820225"
"6","Las Vegas","0.109642149910744"
"7","Los Angeles","0.105402843169342"
"8","Miami","0.0643348457251161"
"9","Minneapolis","0.0401953275838198"
"10","New York","0.0417964405241431"
"11","Phoenix","0.0841512232736853"
"12","San Diego","0.0548026026423301"
"13","Seattle","0.0972916048669186"
"14","San Francisco","0.0797155978242549"
"15","Washington","0.025421129806213"
